Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Lengths,Bwd Packet Lengths,Flow Bytes/s,Flow Packets/s,Flow IATs,Last Seen,Fwd IATs,Bwd IATs,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length
140.82.114.21-172.16.73.109-443-50371-TCP,140.82.114.21,443,172.16.73.109,50371,TCP,1747577522.7712257,335522.4132537842,3,0,237,0,"[117, 60, 60]",[],237,3,"[0.0, 0.3329463005065918, 0.002576112747192383]",1747577523.106748,"[0.0, 0.3329463005065918, 0.002576112747192383]",[],1,0,0,0,1,0,0,1,3,0,60,0
172.16.73.109-140.82.114.21-50371-443-TCP,172.16.73.109,50371,140.82.114.21,443,TCP,1747577523.1059935,393.15223693847656,2,0,108,0,"[54, 54]",[],108,2,"[0.0, 0.00039315223693847656]",1747577523.1063867,"[0.0, 0.00039315223693847656]",[],0,0,0,0,1,0,0,0,2,0,40,0
172.16.72.171-224.0.0.251-0-0-UDP,172.16.72.171,0,224.0.0.251,0,UDP,1747577523.1106725,191874.02725219727,6,0,982,0,"[219, 88, 88, 88, 279, 220]",[],982,6,"[0.0, 0.00072479248046875, 0.008270978927612305, 0.04520583152770996, 0.13646721839904785, 0.0012052059173583984]",1747577523.3025465,"[0.0, 0.00072479248046875, 0.008270978927612305, 0.04520583152770996, 0.13646721839904785, 0.0012052059173583984]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.86.57-239.255.255.250-0-0-UDP,172.16.86.57,0,239.255.255.250,0,UDP,1747577523.1131246,488.7580871582031,2,0,350,0,"[175, 175]",[],350,2,"[0.0, 0.0004887580871582031]",1747577523.1136134,"[0.0, 0.0004887580871582031]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.84.16-172.16.255.255-0-0-UDP,172.16.84.16,0,172.16.255.255,0,UDP,1747577523.1141322,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577523.1141322,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.120-255.255.255.255-0-0-UDP,172.16.65.120,0,255.255.255.255,0,UDP,1747577523.1146657,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577523.1146657,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.66-224.0.0.251-0-0-UDP,172.16.71.66,0,224.0.0.251,0,UDP,1747577523.1159575,3313683.7482452393,2,0,206,0,"[103, 103]",[],206,2,"[0.0, 3.3136837482452393]",1747577526.4296412,"[0.0, 3.3136837482452393]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.74.40-172.16.255.255-0-0-UDP,172.16.74.40,0,172.16.255.255,0,UDP,1747577523.1168106,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577523.1168106,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.112-255.255.255.255-0-0-UDP,172.16.65.112,0,255.255.255.255,0,UDP,1747577523.1181529,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577523.1181529,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.123-255.255.255.255-0-0-UDP,172.16.65.123,0,255.255.255.255,0,UDP,1747577523.11876,0.0,1,0,913,0,[913],[],913,1,[0.0],1747577523.11876,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
